Week,Population,ID,Treatment,Conductance,Chlorophyll,Alpha,ETRmax,Ek,NPQmax,Fv/Fm,Phase
2,Ekahanui,K32I,PD,189.7,39.2,0.217,217.173,1001.265,NA,0.597,Treatment
2,Ekahanui,K33I,PD,263.6,40.7,0.222,261.19,1174.091,NA,0.684,Treatment
2,Ekahanui,K34I,PD,21.6,45.3,0.174,205.892,1185.849,NA,0.448,Treatment
2,Ekahanui,K35I,PD,257.2,25.2,0.231,171.385,741.896,NA,0.63,Treatment
2,Ekahanui,K36I,PD,263.2,34.2,0.203,131.044,644.618,NA,0.56,Treatment
2,Ekahanui,K37I,PD,49.9,19.9,0.231,193.071,834.021,NA,0.658,Treatment
2,Ekahanui,K38I,PD,112,40,0.229,258.239,1129.846,NA,0.679,Treatment
2,Ekahanui,K39I,PD,67.8,20.9,0.219,268.481,1227.098,0.7,0.706,Treatment
2,Ekahanui,K40I,PD,174.6,37.6,NA,NA,NA,1.212,0.661,Treatment
3,Ekahanui,K11I,C,793.1,30.2,0.214,451.866,2114.401,0.092,0.606,Treatment
3,Ekahanui,K12I,C,851.1,40,0.204,323.004,1583.67,0.66,0.591,Treatment
3,Ekahanui,K13I,C,752.1,27.5,0.201,318.208,1583.458,0.082,0.591,Treatment
3,Ekahanui,K14I,C,605.2,36.5,0.236,321.95,1361.635,NA,0.566,Treatment
3,Ekahanui,K15I,C,816.4,25.6,0.204,444.622,2177.038,NA,0.577,Treatment
3,Ekahanui,K16I,C,652.1,26.5,0.217,452.095,2078.82,0.2,0.603,Treatment
3,Ekahanui,K17I,C,435.1,28.1,0.218,178.966,820.551,NA,0.585,Treatment
3,Ekahanui,K18I,C,65.3,22.7,NA,NA,NA,NA,0.5,Treatment
3,Ekahanui,K19I,C,564.2,11.5,0.237,297.375,1252.769,0.387,0.698,Treatment
3,Ekahanui,K20I,C,549,40.2,0.202,331.323,1639.195,0.962,0.683,Treatment
3,Ekahanui,K31I,PD,49.4,16.9,NA,NA,NA,NA,0.581,Treatment
3,Ekahanui,K32I,PD,111.8,18.4,0.172,199.942,1163.715,0.966,0.655,Treatment
3,Ekahanui,K33I,PD,127.7,27.6,0.19,175.736,925.828,0.614,0.673,Treatment
3,Ekahanui,K35I,PD,214.7,17.2,0.113,83.975,741.692,NA,0.328,Treatment
3,Ekahanui,K36I,PD,187.6,30.8,0.232,140.948,606.278,NA,0.593,Treatment
3,Ekahanui,K38I,PD,74.8,26.5,NA,NA,NA,NA,0.366,Treatment
3,Ekahanui,K40I,PD,121.4,31.5,0.2,186.466,933.719,NA,0.566,Treatment
4,Ekahanui,K11I,C,567.8,20.5,0.199,324.469,1626.989,0.522,0.629,Pre-Recovery
4,Ekahanui,K12I,C,534.4,34,0.205,222.462,1083.287,1.07,0.712,Pre-Recovery
4,Ekahanui,K13I,C,547.6,12.1,0.177,106.023,598.028,NA,NA,Pre-Recovery
4,Ekahanui,K14I,C,488.9,36.2,0.192,424.988,2215.74,0.439,0.561,Pre-Recovery
4,Ekahanui,K15I,C,708.9,32.6,0.194,332.079,1710.043,0.509,0.605,Pre-Recovery
4,Ekahanui,K16I,C,575.6,27.1,0.219,347.283,1583.537,0.585,0.631,Pre-Recovery
4,Ekahanui,K17I,C,112.9,6.4,0.246,185.967,756.681,NA,0.658,Pre-Recovery
4,Ekahanui,K18I,C,38.7,8.3,0.191,110.132,575.423,NA,0.551,Pre-Recovery
4,Ekahanui,K19I,C,512.5,21.8,0.227,638.787,2813.739,NA,0.603,Pre-Recovery
4,Ekahanui,K20I,C,688.3,16.7,0.193,320.718,1665.394,NA,0.603,Pre-Recovery
4,Ekahanui,K33I,PD,47.4,22.2,NA,NA,NA,NA,0.2,Pre-Recovery
4,Ekahanui,K36I,PD,73.7,29.5,0.182,129.119,711.316,NA,0.57,Pre-Recovery
4,Ekahanui,K40I,PD,36.7,29.5,0.151,132.233,877.699,0.76,0.477,Pre-Recovery
5,Ekahanui,K11I,C,616.8,25.1,0.202,265.508,1311.158,0.39,188.4,Mid-Recovery
5,Ekahanui,K12I,C,420.5,38.8,0.168,244.353,1454.711,0.336,162.3,Mid-Recovery
5,Ekahanui,K13I,C,574.7,8.3,0.141,77.271,547.061,NA,NA,Mid-Recovery
5,Ekahanui,K14I,C,476.1,30.5,0.228,219.128,960.293,0.388,187.4,Mid-Recovery
5,Ekahanui,K15I,C,599,30.2,0.191,254.672,1331.16,0.373,180.2,Mid-Recovery
5,Ekahanui,K16I,C,382.4,15.2,0.166,236.476,1425.481,0.327,157.9,Mid-Recovery
5,Ekahanui,K17I,C,323.3,15.9,0.203,414.687,2041.843,0.442,213.5,Mid-Recovery
5,Ekahanui,K19I,C,632.9,13.7,0.191,217.251,1137.603,0.35,169.1,Mid-Recovery
5,Ekahanui,K20I,C,518.3,14,0.161,200.715,1249.835,0.302,145.9,Mid-Recovery
5,Ekahanui,K36I,PD,378.6,31.9,0.133,120.879,911.515,0.217,104.8,Mid-Recovery
5,Ekahanui,K40I,PD,511.7,17.3,0.168,141.358,843.051,0.263,127,Mid-Recovery
6,Ekahanui,K11I,C,561.6,19.6,0.208,526.964,2535341,0.808,0.628,Post-Recovery
6,Ekahanui,K12I,C,504.3,12.2,0.222,232.32,1045.446,0.392,0.634,Post-Recovery
6,Ekahanui,K13I,C,351.7,4.1,NA,NA,NA,NA,NA,Post-Recovery
6,Ekahanui,K14I,C,560.9,33.3,0.228,325.42,1424.9,0.507,0.609,Post-Recovery
6,Ekahanui,K15I,C,694.7,31.7,0.223,318.069,"1,426,811",0.539,0.641,Post-Recovery
6,Ekahanui,K16I,C,295.3,17.5,0.218,247.845,1139.388,0.46,0.707,Post-Recovery
6,Ekahanui,K17I,C,332.9,16.8,0.23,184.953,803.069,0.115,0.586,Post-Recovery
6,Ekahanui,K19I,C,467.8,18.3,0.261,185.001,7009.443,0.241,0.672,Post-Recovery
6,Ekahanui,K20I,C,549.7,11.6,NA,NA,NA,NA,NA,Post-Recovery
6,Ekahanui,K36I,PD,548.4,24.9,0.238,352.439,1481.033,0.667,0.678,Post-Recovery
6,Ekahanui,K40I,PD,391.1,24.5,0.212,391.897,1849.076,0.431,0.616,Post-Recovery
