Population,ID,Treatment,Fate,Survival,Longevity,TFC,Shoot,LMAleaf,Peelleaf,Aboveground,Belowground,Biomass,RSratio,Area,LMA
Ohikilolo1,K16B,C,H,1,,,,,,0.6196,0.0712,0.6908,0.114912847,,
Ohikilolo1,K19B,C,H,1,,,,,,0.6829,0.0661,0.749,0.096793088,,
Ohikilolo1,K20B,C,H,1,,,,,,0.7532,0.0757,0.8289,0.100504514,,
Ohikilolo1,K22B,C,H,1,,,,,,0.8651,0.0976,0.9627,0.112819327,,
Ohikilolo1,K21B,C,H,1,,,,,,0.9344,0.1128,1.0472,0.120719178,,
Koko,K20A,C,H,1,,,,,,1.4233,0.3783,1.8016,0.265790768,,
Koko,K14A,C,H,1,,,,,,2.1582,0.5702,2.7284,0.26420165,,
Koko,K19A,C,H,1,,,,,,2.3532,0.7613,3.1145,0.323516913,,
Koko,K17A,C,H,1,,,,,,2.4843,0.6813,3.1656,0.274242241,,
Koko,K21A,C,H,1,,,,,,2.7261,0.7569,3.483,0.277649389,,
Koko,K15A,C,H,1,,,,,,3.3985,1.1688,4.5673,0.343916434,,
Koko,K13A,C,H,1,,,,,,4.2132,0.9605,5.1737,0.227973987,,
Koko,K16A,C,H,1,,,,,,4.3652,0.9605,5.3257,0.220035737,,
Koko,K18A,C,H,1,,,,,,4.44,1.1184,5.5584,0.251891892,,
Koko,K24A,C,H,1,,,,,,4.5829,1.5603,6.1432,0.34046128,,
Koko,K22A,C,H,1,,,,,,6.3274,1.3284,7.6558,0.209944053,,
Koko,K23A,C,H,1,,,,,,5.6683,2.2231,7.8914,0.392198719,,
Koko,K37A,PD,H,0,,,,,,,,,,,
Koko,K38A,PD,H,0,,,,,,,,,,,
Koko,K39A,PD,H,0,,,,,,,,,,,
Koko,K40A,PD,H,0,,,,,,,,,,,
Koko,K42A,PD,H,0,,,,,,,,,,,
Koko,K43A,PD,H,0,,,,,,,,,,,
Koko,K44A,PD,H,0,,,,,,,,,,,
Koko,K45A,PD,H,0,,,,,,,,,,,
Koko,K46A,PD,H,0,,,,,,,,,,,
Koko,K47A,PD,H,0,,,,,,,,,,,
Koko,K48A,PD,H,0,,,,,,,,,,,
Ohikilolo1,K34B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K35B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K36B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K38B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K40B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K41B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K42B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K43B,PD,H,0,,,,,,,,,,,
Ohikilolo1,K44B,PD,H,0,,,,,,,,,,,
Saddle,K16C,PD,H,0,,,,,,,,,,,
Keaau,K13D,C,H,0,,,,,,,,,,,
Keaau,K20D,C,H,0,,,,,,,,,,,
Keaau,K31D,PD,H,0,,,,,,,,,,,
Keaau,K32D,PD,H,0,,,,,,,,,,,
Keaau,K37D,PD,H,0,,,,,,,,,,,
Kealia,K18E,C,H,0,,,,,,,,,,,
Kealia,K31E,PD,H,0,,,,,,,,,,,
Kealia,K32E,PD,H,0,,,,,,,,,,,
Kealia,K34E,PD,H,0,,,,,,,,,,,
Kealia,K40E,PD,H,0,,,,,,,,,,,
Ohikilolo2,K38F,PD,H,0,,,,,,,,,,,
Ohikilolo2,K39F,PD,H,0,,,,,,,,,,,
Kahanahaiki,K33G,PD,H,0,,,,,,,,,,,
Kahanahaiki,K34G,PD,H,0,,,,,,,,,,,
Kahanahaiki,K37G,PD,H,0,,,,,,,,,,,
Kahanahaiki,K40G,PD,H,0,,,,,,,,,,,
Makaha,K31H,PD,H,0,,,,,,,,,,,
Makaha,K32H,PD,H,0,,,,,,,,,,,
Makaha,K37H,PD,H,0,,,,,,,,,,,
Makaha,K40H,PD,H,0,,,,,,,,,,,
Ekahanui,K18I,C,H,0,,,,,,,,,,,
Ekahanui,K31I,PD,H,0,,,,,,,,,,,
Ekahanui,K32I,PD,H,0,,,,,,,,,,,
Ekahanui,K33I,PD,H,0,,,,,,,,,,,
Ekahanui,K34I,PD,H,0,,,,,,,,,,,
Ekahanui,K35I,PD,H,0,,,,,,,,,,,
Ekahanui,K37I,PD,H,0,,,,,,,,,,,
Ekahanui,K38I,PD,H,0,,,,,,,,,,,
Ekahanui,K39I,PD,H,0,,,,,,,,,,,
Koko,K25A,C,TD,1,14,48.45413508,,,,,,,,,
Koko,K26A,C,TD,1,19,31.23669193,,,,,,,,,
Koko,K27A,C,TD,1,19,29.03926412,,,,,,,,,
Koko,K28A,C,TD,1,14,31.42832808,,,,,,,,,
Koko,K29A,C,TD,1,14,31.28353633,,,,,,,,,
Koko,K30A,C,TD,1,19,29.25645175,,,,,,,,,
Koko,K31A,C,TD,1,19,29.78877438,,,,,,,,,
Koko,K32A,C,TD,1,19,29.63546546,,,,,,,,,
Koko,K33A,C,TD,1,19,29.558811,,,,,,,,,
Koko,K34A,C,TD,1,26,29.63972404,,,,,,,,,
